,0
0,6983.404
1,6889.741
2,7065.607
3,6462.243
4,6570.432
5,6128.656
6,6136.663
7,5924.044
8,6124.82
9,5893.682
10,5978.908
11,6197.095
12,6138.503
13,5886.884
14,5980.611
15,6041.326
16,5589.307
17,5514.189
18,5271.233
19,5469.125
20,5399.477
21,5586.627
22,5610.173
23,5721.485
24,5664.197
25,5668.04
26,5902.534
27,5971.412
28,5957.131
29,5979.516
30,6103.723
31,6070.5
32,6111.043
33,5626.052
34,5648.938
35,5350.434
36,5473.635
37,5753.148
38,5776.977
39,5621.561
40,5752.548
41,5764.325
42,5617.038
43,5521.948
44,5508.982
45,5690.59
46,5639.801
47,5562.804
48,5745.975
49,5949.263
50,6099.481
51,6075.492
52,6118.966
53,6018.424
54,6077.431
55,6037.778
56,5921.867
57,6137.503
58,6155.814
59,6124.528
60,6286.583
61,6323.434
62,6228.974
63,6168.742
64,6304.3
65,6252.773
66,6344.226
67,6401.855
68,6384.35
69,6281.202
70,6308.229
71,6022.213
72,5970.682
73,6011.32
74,5978.077
75,6046.773
76,6016.699
77,5990.329
78,5985.594
79,6167.454
80,6169.783
81,6203.817
82,5961.489
83,5743.647
84,5738.896
85,5723.41
86,5726.456
87,5714.311
88,5812.542
89,5790.342
90,5631.193
91,5666.733
92,5732.902
93,5809.476
94,5743.178
95,5715.183
96,5744.388
97,5739.59
98,5711.315
99,5947.322
100,5973.78
101,6013.894
102,6032.603
103,6051.86
104,6045.357
105,6023.878
106,5746.444
107,5762.761
108,5952.846
109,5930.545
110,5964.272
111,5985.569
112,5916.803
113,6008.886
114,5978.174
115,5903.62
116,6044.219
117,6107.511
118,6120.202
119,6123.494
120,6111.539
121,6231.881
122,6269.505
123,6297.397
124,6319.793
125,6299.853
126,6312.499
127,6395.145
128,6446.563
129,6455.583
130,6441.016
131,6412.073
132,6431.938
133,6417.922
134,6442.709
135,6390.925
136,6408.783
137,6494.474
138,6229.289
139,6243.288
140,6202.892
141,6109.278
142,6168.509
143,6198.389
144,6238.231
145,6203.287
146,6290.756
147,6341.55
148,6318.268
149,6226.313
150,6299.092
151,6442.527
152,6468.895
153,6488.365
154,6490.408
155,6499.555
156,6420.354
157,6428.698
158,6435.059
159,6382.57
160,6410.734
161,6427.529
162,6425.754
163,6434.21
164,6381.476
165,6356.954
166,6391.792
167,6492.972
168,6494.316
169,6517.984
170,6471.053
171,6291.636
172,6320.032
173,6278.158
174,6344.181
175,6342.033
176,6343.754
177,6385.635
178,6370.583
179,6241.516
180,6286.909
181,6281.284
182,6298.791
183,6328.086
184,6447.693
185,6486.425
186,6482.738
187,6484.831
188,6469.492
189,6413.149
190,6509.282
191,6495.257
192,6498.238
193,6475.281
194,6539.466
195,6563.354
196,6530.39
197,6517.359
198,6455.835
199,6452.206
200,6507.95
201,6455.13
202,6483.732
203,6462.593
204,6468.817
205,6503.178
206,6453.572
207,6536.965
208,6583.886
