,0
0,7615.514
1,7619.693
2,7570.039
3,7561.717
4,7487.022
5,7507.533
6,7501.561
7,7444.111
8,7335.392
9,7232.222
10,7306.693
11,7288.716
12,7321.78
13,7313.647
14,7350.28
15,7326.607
16,7302.076
17,7304.752
18,7328.715
19,7309.913
20,7286.725
21,7238.139
22,7266.699
23,7262.681
24,7239.497
25,7193.855
26,7169.142
27,7129.32
28,7129.32
29,7129.32
30,7085.454
31,6987.731
32,6987.731
33,6987.731
34,6987.731
35,6987.731
36,6987.731
37,6987.731
38,6987.731
39,6987.731
40,6987.731
41,6987.731
42,6987.731
43,6987.731
44,6987.731
45,6987.731
46,6987.731
47,6987.731
48,6983.404
49,6663.726
50,6833.143
51,6848.652
52,6871.16
53,6995.387
54,6946.767
55,6972.385
56,6866.798
57,6886.436
58,6946.044
59,6916.308
60,6931.373
61,6935.798
62,6976.637
63,6957.711
64,6935.634
65,6953.919
66,6963.234
67,6977.704
68,7019.575
69,6998.489
70,6999.273
71,6967.907
72,6976.224
73,6975.659
74,6981.94
75,6954.706
76,6927.165
77,6879.292
78,6903.091
79,6805.086
80,6821.251
81,6803.688
82,6861.415
83,6841.272
84,6782.476
85,6812.083
86,6795.04
87,6760.401
88,6627.893
89,6720.262
90,6727.784
91,6782.424
92,6787.12
93,6891.901
94,6848.3
95,6882.62
96,6865.341
97,6889.741
98,6916.532
99,6933.262
100,6961.739
101,6951.387
102,6954.698
103,6959.317
104,6991.982
105,6983.797
106,6951.526
107,6960.999
108,6970.828
109,6974.973
110,6941.067
111,6950.118
112,6888.641
113,6910.015
114,6915.862
115,6895.758
116,6885.886
117,6909.374
118,6929.536
119,6928.886
120,6950.397
121,6939.93
122,6938.711
123,6929.909
124,6932.053
125,6916.822
126,6943.441
127,6954.688
128,6976.639
129,6984.594
130,7002.668
131,7004.894
132,7011.419
133,6996.986
134,6985.635
135,7028.022
136,7021.218
137,7010.645
138,7021.525
139,7052.48
140,7043.805
141,7043.329
142,7023.593
143,7042.999
144,7047.206
145,7057.506
146,7065.607
147,6937.416
148,6904.588
149,6690.843
150,6579.674
151,6579.674
152,6579.674
153,6454.973
154,6454.973
155,6454.973
156,6454.973
157,6454.973
158,6454.973
159,6454.973
160,6454.973
161,6454.973
162,6454.973
163,6454.973
164,6454.973
165,6454.973
166,6454.973
167,6454.973
168,6454.973
169,6454.973
170,6454.973
171,6454.973
172,6454.973
173,6454.973
174,6454.973
175,6454.973
176,6454.973
177,6454.973
178,6454.973
179,6454.973
180,6454.973
181,6454.973
182,6454.973
183,6454.973
184,6454.973
185,6454.973
186,6454.973
187,6454.973
188,6454.973
189,6454.973
190,6454.973
191,6454.973
192,6454.973
193,6454.973
194,6454.973
195,6462.243
196,6618.081
197,6570.05
198,6584.235
199,6444.979
200,6287.231
201,6395.209
202,6529.614
203,6509.692
204,6499.932
205,6530.116
206,6560.195
207,6576.801
208,6576.109
209,6534.839
210,6559.905
211,6549.625
212,6548.444
213,6503.019
214,6526.27
215,6524.288
216,6546.107
217,6547.895
218,6542.358
219,6588.225
220,6595.739
221,6617.825
222,6614.703
223,6612.66
224,6642.655
225,6630.636
226,6675.032
227,6667.904
228,6652.914
229,6656.4
230,6652.564
231,6607.059
232,6626.436
233,6631.41
234,6622.783
235,6597.402
236,6599.16
237,6596.751
238,6626.59
239,6611.635
240,6614.303
241,6614.725
242,6579.128
243,6573.483
244,6570.432
245,6435.894
246,6435.301
247,6441.902
248,6450.292
249,6487.079
250,6489.137
251,6478.659
252,6515.626
253,6502.739
254,6518.396
255,6505.451
256,6475.462
257,6480.7
258,6509.118
259,6491.56
260,6485.743
261,6442.829
262,6456.038
263,6457.798
264,6429.495
265,6387.544
266,6373.445
267,6317.134
268,6331.327
269,6359.11
270,6327.397
271,6347.653
272,6339.913
273,6264.825
274,6284.11
275,6271.958
276,6323.457
277,6313.632
278,6368.189
279,6348.511
280,6326.654
281,6314.333
282,6296.077
283,6304.05
284,6325.795
285,6290.846
286,6273.939
287,6207.493
288,6235.184
289,6171.815
290,6139.737
291,6155.221
292,6129.78
293,6128.656
294,6126.67
295,6116.383
296,6036.086
297,6140.345
298,6181.662
299,6157.586
300,6134.069
301,6122.838
302,6082.169
303,6109.108
304,6125.055
305,6115.698
306,6086.691
307,6081.739
308,6059.29
309,6032.773
310,6011.516
311,6048.456
312,6044.618
313,6096.833
314,6081.12
315,6089.821
316,6085.75
317,6134.922
318,6133.061
319,6157.002
320,6163.252
321,6157.866
322,6156.338
323,6133.234
324,6148.666
325,6174.742
326,6180.501
327,6191.463
328,6204.216
329,6173.792
330,6144.371
331,6156.414
332,6151.96
333,6126.81
334,6142.642
335,6176.859
336,6163.676
337,6141.124
338,6164.785
339,6149.48
340,6112.447
341,6129.103
342,6136.663
343,6168.987
344,6178.924
345,6167.53
346,6143.416
347,6166.308
348,6201.044
349,6202.082
350,6199.318
351,6221.97
352,6225.47
353,6207.988
354,6188.048
355,6193.943
356,6178.339
357,6190.973
358,6202.9
359,6192.813
360,6194.381
361,6189.341
362,6169.928
363,6150.766
364,6154.342
365,6137.849
366,6099.367
367,6125.893
368,6108.615
369,6073.178
370,6091.356
371,6114.667
372,6103.439
373,6078.311
374,6093.403
375,6131.427
376,6131.753
377,6107.766
378,6099.178
379,6102.316
380,6066.088
381,6088.454
382,6108.733
383,6094.719
384,6076.226
385,6004.04
386,6030.908
387,6038.082
388,5996.459
389,5945.581
390,5948.494
391,5924.044
392,5734.608
393,5741.197
394,5824.401
395,5829.516
396,5800.746
397,5826.145
398,5873.836
399,5872.654
400,5847.122
401,5864.872
402,5837.063
403,5845.885
404,5889.044
405,5879.669
406,5859.827
407,5826.787
408,5834.383
409,5806.581
410,5836.069
411,5844.293
412,5881.429
413,5873.892
414,5887.921
415,5870.633
416,5876.533
417,5890.471
418,5892.316
419,5920.748
420,5956.347
421,5941.577
422,5996.173
423,6004.71
424,6050.441
425,6036.418
426,6012.16
427,6011.436
428,6028.704
429,6075.816
430,6086.798
431,6091.449
432,6072.656
433,6054.853
434,6074.983
435,6071.11
436,6134.918
437,6118.966
438,6123.219
439,6113.211
440,6124.82
441,6078.615
442,6083.274
443,6115.579
444,6113.27
445,6087.683
446,6090.869
447,6130.557
448,6124.729
449,6098.354
450,6069.587
451,6081.991
452,6097.355
453,6086.629
454,6060.588
455,6047.53
456,6070.117
457,6065.012
458,6090.019
459,6076.023
460,6081.224
461,6090.728
462,6099.98
463,6091.424
464,6061.938
465,6050.17
466,6026.814
467,5950.284
468,5964.808
469,5989.987
470,5970.458
471,5920.611
472,5930.961
473,5976.104
474,5966.352
475,5940.921
476,5942.205
477,5995.284
478,5981.522
479,5964.051
480,5942.974
481,5930.139
482,5860.781
483,5885.836
484,5936.119
485,5914.434
486,5885.693
487,5863.976
488,5871.145
489,5893.682
490,5768.758
491,5812.585
492,5891.868
493,5935.04
494,5911.748
495,5901.262
496,5896.111
497,5937.219
498,5926.344
499,5934.904
500,5909.765
501,5903.794
502,5896.599
503,5864.738
504,5873.202
505,5847.789
506,5884.972
507,5902.671
508,5901.172
509,5908.336
510,5894.134
511,5898.569
512,5875.165
513,5893.544
514,5945.01
515,5971.693
516,5985.218
517,5995.536
518,6012.772
519,6015.447
520,6015.281
521,6039.833
522,6028.344
523,6012.428
524,5996.019
525,6014.907
526,5999.064
527,6017.588
528,6037.682
529,6038.076
530,6022.889
531,5997.817
532,6004.616
533,5966.833
534,5982.599
535,5988.104
536,5986.741
537,5980.782
538,5978.908
539,5965.355
540,6001.281
541,5985.831
542,5972.125
543,5999.349
544,6007.637
545,6012.643
546,6021.771
547,6016.98
548,5993.486
549,5985.918
550,5989.319
551,5971.355
552,5983.96
553,5966.215
554,5975.688
555,5983.302
556,5989.494
557,5999.007
558,5986.228
559,5996.602
560,6004.933
561,6013.695
562,6038.16
563,6074.976
564,6108.311
565,6099.253
566,6103.27
567,6130.866
568,6124.646
569,6139.599
570,6129.618
571,6162.239
572,6144.4
573,6125.482
574,6140.415
575,6144.747
576,6148.809
577,6183.236
578,6171.796
579,6161.184
580,6164.958
581,6158.175
582,6182.307
583,6183.185
584,6195.247
585,6202.45
586,6192.372
587,6197.095
588,6161.232
589,6177.531
590,6185.158
591,6188.535
592,6219.972
593,6210.041
594,6220.032
595,6228.038
596,6235.866
597,6229.598
598,6227.356
599,6199.109
600,6209.611
601,6183.781
602,6201.01
603,6218.703
604,6218.91
605,6188.939
606,6167.646
607,6171.835
608,6154.595
609,6158.548
610,6176.674
611,6154.757
612,6131.71
613,6112.462
614,6101.877
615,6124.877
616,6140.493
617,6141.343
618,6128.437
619,6129.458
620,6117.613
621,6134.157
622,6146.645
623,6179.634
624,6160.379
625,6145.121
626,6139.989
627,6130.676
628,6116.725
629,6118.222
630,6147.84
631,6157.49
632,6167.558
633,6158.149
634,6130.695
635,6140.668
636,6138.503
637,6031.17
638,6018.097
639,6055.674
640,6083.626
641,6071.382
642,6081.833
643,6093.707
644,6099.571
645,6082.409
646,6088.071
647,6073.201
648,6082.648
649,6115.453
650,6114.426
651,6135.471
652,6148.102
653,6135.954
654,6127.649
655,6157.989
656,6156.152
657,6146.812
658,6173.143
659,6183.465
660,6174.979
661,6177.428
662,6145.153
663,6138.026
664,6102.714
665,6100.434
666,6111.258
667,6113.812
668,6057.58
669,6040.912
670,6062.637
671,6075.529
672,6052.901
673,6021.157
